SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
36,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
37,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
38,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
39,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
40,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
41,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
42,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
43,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
44,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
45,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
