pin,slack
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk24.UI_ram_wrapper_1/L3_syncnonpipe/pf_ram_pf_ram_0_0_OLDA[3]:D,4162
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk24.UI_ram_wrapper_1/L3_syncnonpipe/pf_ram_pf_ram_0_0_OLDA[3]:Q,4427
MSS/MSSIO35_OUT_IOINST/U_IOPAD:D,
MSS/MSSIO35_OUT_IOINST/U_IOPAD:PAD,
MSS/SGMII_TX0_IOINST/U_IOPADN:D,
MSS/SGMII_TX0_IOINST/U_IOPADN:PAD,
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_50MHz/CORERESET_PF_C5_0/dff_9[0]:ALn,
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_50MHz/CORERESET_PF_C5_0/dff_9[0]:CLK,18976
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_50MHz/CORERESET_PF_C5_0/dff_9[0]:D,18976
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_50MHz/CORERESET_PF_C5_0/dff_9[0]:Q,18976
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/video_bus_state[2]:ALn,4409
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/video_bus_state[2]:CLK,5257
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/video_bus_state[2]:D,4420
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/video_bus_state[2]:Q,5257
MSS/DDR_DM2_OUT_IOINST/U_IOPAD:D,
MSS/DDR_DM2_OUT_IOINST/U_IOPAD:PAD,
top_ddr_write_0/jpeg_top_1/u_jls/bbuf_5[155]:A,4633
top_ddr_write_0/jpeg_top_1/u_jls/bbuf_5[155]:B,4596
top_ddr_write_0/jpeg_top_1/u_jls/bbuf_5[155]:C,1619
top_ddr_write_0/jpeg_top_1/u_jls/bbuf_5[155]:Y,1619
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/request_scheduler_0/FSM_PROC.un250_s_fifo_7_2_1_wmux_2[0]:A,2851
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/request_scheduler_0/FSM_PROC.un250_s_fifo_7_2_1_wmux_2[0]:B,3626
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/request_scheduler_0/FSM_PROC.un250_s_fifo_7_2_1_wmux_2[0]:C,3636
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/request_scheduler_0/FSM_PROC.un250_s_fifo_7_2_1_wmux_2[0]:D,3592
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/request_scheduler_0/FSM_PROC.un250_s_fifo_7_2_1_wmux_2[0]:Y,2851
MSS/DDR_ODT0_IOINST/U_IOPAD:D,
MSS/DDR_ODT0_IOINST/U_IOPAD:PAD,
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_9/CFG_15:C,5740
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_9/CFG_15:IPB,
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_9/CFG_15:IPC,5740
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_9/CFG_15:IPD,
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_7/CFG_25:C,5700
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_7/CFG_25:IPB,
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_7/CFG_25:IPC,5700
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/io1l_io1l_0_7/CFG_25:IPD,
top_ddr_write_0/jpeg_top_1/u_jls/b_sof:CLK,6976
top_ddr_write_0/jpeg_top_1/u_jls/b_sof:D,3864
top_ddr_write_0/jpeg_top_1/u_jls/b_sof:Q,6976
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/read_top_0/request_scheduler_0/WRITE_FIFO_PROC.s_fifo_0[0]:ALn,4409
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/read_top_0/request_scheduler_0/WRITE_FIFO_PROC.s_fifo_0[0]:CLK,2858
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/read_top_0/request_scheduler_0/WRITE_FIFO_PROC.s_fifo_0[0]:D,6866
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/read_top_0/request_scheduler_0/WRITE_FIFO_PROC.s_fifo_0[0]:EN,4962
