
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	. video_processing, 354, 383, 564, 0, 0, 0, 0, 0, 0
.	.	.	. Bayer_Interpolation_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Bayer_Interpolation_1_8_2048_0_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CR_OSD, 197, 327, 453, 0, 0, 0, 0, 0, 0
.	.	.	.	. CH_ROM, 20, 126, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	. HV_COUNTER, 32, 5, 34, 0, 0, 0, 0, 0, 0
.	.	.	.	. NUM_ROM, 7, 47, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	. obj_generator, 18, 28, 131, 0, 0, 0, 0, 0, 0
.	.	.	.	. obj_generator_num, 31, 65, 202, 0, 0, 0, 0, 0, 0
.	.	.	.	. text_out, 24, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	. Gamma_Correction_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Gamma_Correction_1_8_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. IMAGE_SCALER_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Image_Scaler_8_11_11_0_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. Image_Enhancement_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Image_Enhancement_8_1_0_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. frame_controls_gen, 91, 53, 16, 0, 0, 0, 0, 0, 0
.	.	.	. intensity_average, 66, 3, 95, 0, 0, 0, 0, 0, 0
.	.	. work_apb3_if_apb3_if_32_12_1_g_APB3_IF_DATA_WIDTHg_CONST_WIDTH, 212, 117, 0, 0, 0, 0, 0, 0, 0
